2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=HBT accepted=27
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=DLO
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=DLO accepted=28
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=ONC
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=ONC accepted=29
2026-01-01 10:44:04 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=EKSO
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=EKSO accepted=30
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=GTENU
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT_NON_COMMON_STOCK ticker=GTENU
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=SNEX
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=SNEX accepted=31
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=DRH
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=DRH accepted=32
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=FCNCO
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=FCNCO accepted=33
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=JFB
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=JFB accepted=34
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=LINK
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=LINK accepted=35
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=ARQ
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=ARQ accepted=36
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=PC
