2025-12-31 16:59:45,483 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=GEMI interval=1d
2025-12-31 16:59:45,483 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=NPCE interval=1d path=cache\d55b3b9cdbab60e7d99e93c2.parquet
2025-12-31 16:59:45,483 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=NPCE interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:45,727 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=NPCE interval=1d
2025-12-31 16:59:45,727 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=AZI interval=1d path=cache\a6cacaafa23f3a0945665021.parquet
2025-12-31 16:59:45,727 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=AZI interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:45,939 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=AZI interval=1d
2025-12-31 16:59:45,939 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=KELYA interval=1d path=cache\081501cab24ccb4e3ce41cea.parquet
2025-12-31 16:59:45,939 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=KELYA interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:46,166 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=KELYA interval=1d
2025-12-31 16:59:46,166 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=NMRA interval=1d path=cache\946f871c2e373053957bda67.parquet
2025-12-31 16:59:46,166 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=NMRA interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:46,349 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=NMRA interval=1d
2025-12-31 16:59:46,349 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=TBPH interval=1d path=cache\88ea89d0ec8635f4ba34ec3f.parquet
2025-12-31 16:59:46,349 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=TBPH interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:46,507 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=TBPH interval=1d
2025-12-31 16:59:46,507 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=FRBA interval=1d path=cache\62ffbecfb2d20f7222e14eb4.parquet
2025-12-31 16:59:46,507 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=FRBA interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:46,731 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=FRBA interval=1d
2025-12-31 16:59:46,731 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=APPN interval=1d path=cache\8160f1d331e8ba3cdc6a5564.parquet
2025-12-31 16:59:46,731 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=APPN interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:46,885 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=APPN interval=1d
2025-12-31 16:59:46,885 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=GOOGL interval=1d path=cache\259cd4bc97106efcb93b965a.parquet
2025-12-31 16:59:46,885 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=GOOGL interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:47,086 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=GOOGL interval=1d
2025-12-31 16:59:47,088 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=WLACW interval=1d path=cache\1cd9e8fa4c5e0596cf957ebb.parquet
2025-12-31 16:59:47,088 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=WLACW interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:47,216 | WARNING | backtest_v15.data | DATA_EMPTY ticker=WLACW interval=1d
2025-12-31 16:59:47,216 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=HYMC interval=1d path=cache\fb5edcecacfe8b72c110ac20.parquet
2025-12-31 16:59:47,218 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=HYMC interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:47,447 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=HYMC interval=1d
2025-12-31 16:59:47,447 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=BSAA interval=1d path=cache\009ce25099ef01ce39eb7021.parquet
2025-12-31 16:59:47,447 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=BSAA interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:47,611 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=BSAA interval=1d
2025-12-31 16:59:47,611 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=NBP interval=1d path=cache\fac0811268638b6d6ad80194.parquet
2025-12-31 16:59:47,611 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=NBP interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:47,809 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=NBP interval=1d
2025-12-31 16:59:47,810 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=OM interval=1d path=cache\9538be4413058b0d18d9f43d.parquet
2025-12-31 16:59:47,810 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=OM interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:47,962 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=OM interval=1d
